rec,rep,D,D_ends,D_theory,R,R_theory,R_theory2,H,kernelpixelVar,r_PixVar_rgb,g_PixVar_rgb,b_PixVar_rgb,y_PixVar_ycrcb,gray_PixVar_grayscale,h_PixVar_hsv,l_PixVar_lab,l_PixVar_luv,x_PixVar_xyz,y_PixVar_yuv,cr_PixVar_ycrcb,s_PixVar_hsv,a_PixVar_lab,u_PixVar_luv,y_PixVar_xyz,u_PixVar_yuv,cb_PixVar_ycrcb,v_PixVar_hsv,b_PixVar_lab,v_PixVar_luv,z_PixVar_xyz,v_PixVar_yuv,D_sfm,R_sfm,H_sfm
Reef_25_2019_10_31_SFM_3_04_DEM,1,2.111703199,2.08442082,2.08442082,1.050763596,1.004122719,1.015005768,0.191881459,2165.902831,1121.919595,1479.892306,1423.48247,2.540144473,1356.28369,1420.163307,2.383083323,4.658636629,1686.234197,15.77365164,10.71591092,468.5437193,5.482171194,8.0512566,1391.749618,1.956208184,1356.28369,5.244181954,1474.778084,1474.19324,1176.679339,1356.28369,2.21438476,1.494001932,0.506525576
Reef_25_2019_10_31_SFM_3_04_DEM,2,2.174818642,2.156953401,2.156953401,1.047861296,1.006443515,1.017732757,0.186672981,1701.809825,909.2971406,1217.325822,1202.994194,3.246989282,1114.640682,1193.28388,2.99575916,6.21391204,1419.334189,14.37669822,9.592490818,282.58143,4.673598954,6.595231996,1143.40374,2.515464432,1114.640682,6.489533449,1209.677392,1208.92617,967.0034861,1114.640682,2.125234284,1.515772342,0.650860071
Reef_25_2019_10_31_SFM_3_04_DEM,3,2.135768176,2.131171453,2.131171453,1.089907068,1.008400617,1.02779308,0.233180941,2237.104506,1358.292621,1968.033409,1939.729121,4.832748284,1763.623486,1922.927388,4.372706921,8.086129903,2287.058961,30.69002252,20.50554271,464.1488957,9.131731829,13.46407341,1821.256164,3.855858833,1763.623486,11.36602078,1975.061625,1973.892973,1514.54689,1763.623486,2.379024816,2.01689097,0.548607796
Reef_25_2019_10_31_SFM_3_04_DEM,4,2.112011469,2.111051673,2.111051673,1.076751856,1.006593471,1.02396209,0.221402389,2429.658979,1322.864895,1974.794686,1924.503376,4.805812177,1753.250585,1910.526082,4.537434837,8.078291481,2271.231323,34.64900537,23.095537,440.9695632,10.74052406,14.5275533,1815.763679,3.851084741,1753.250585,15.24110738,1969.773677,1968.921152,1498.086394,1753.250585,2.310438462,1.896178296,0.564112253
Reef_25_2019_10_31_SFM_3_04_DEM,5,2.104650259,2.073820577,2.073820577,1.052266877,1.005798083,1.01943421,0.236167315,2264.5403,1477.98585,2218.863824,2251.245849,5.393191439,1979.325795,2235.451456,3.786267636,7.577914753,2644.250224,36.49036372,24.51791657,507.5209983,9.589638115,16.25789639,2046.39836,4.247363404,1979.325795,8.875433779,2258.146984,2256.581349,1696.526012,1979.325795,2.23143955,1.636992684,0.46961695
Reef_25_2019_10_31_SFM_3_04_DEM,6,2.103689463,2.101205558,2.101205558,1.066442242,1.00829078,1.030224678,0.256996051,2387.14089,1500.109445,2190.195665,2123.363695,5.087521341,1955.602939,2104.994311,5.011504924,8.713968618,2508.440055,33.71151499,22.60257981,555.3416023,10.66822984,15.21302366,2021.909372,4.080602765,1955.602939,14.57427295,2201.603313,2200.565799,1675.10412,1955.602939,2.34359425,1.836943646,0.425695658
Reef_25_2019_10_31_SFM_3_04_DEM,7,2.138858948,2.148247692,2.148247692,1.063529226,1.006361563,1.023252056,0.191159767,2400.523481,1228.15231,1574.874117,1504.959684,4.005551415,1452.881768,1497.013998,4.236244337,7.970616871,1784.231706,16.64631143,11.00809209,518.2405728,5.331906099,7.751548521,1487.528023,3.228062913,1452.883266,9.122655063,1577.817956,1576.896903,1263.625477,1452.883266,2.238762499,1.820515353,0.620923311
Reef_25_2019_10_31_SFM_3_04_DEM,8,2.117060828,2.132730283,2.132730283,1.058047578,1.006581818,1.022097976,0.205195283,2848.150675,1268.674927,1929.540669,1871.199828,6.586686922,1701.188608,1867.101856,6.766761869,11.60877151,2208.042854,39.43766031,26.26615254,695.840737,13.40241213,16.44277428,1765.439327,5.260858948,1701.188608,15.58649297,1980.449003,1979.351196,1448.693945,1701.188608,2.346627358,2.345881803,0.631294865
Reef_25_2019_10_31_SFM_3_04_DEM,9,2.099873325,2.074840252,2.074840252,1.088094228,1.010789914,1.026146548,0.321433798,3234.631575,1695.345554,2545.064084,2611.181036,8.640174315,2271.304033,2595.351548,7.06260189,13.13843475,3061.85041,45.81210992,30.65884233,782.9698704,11.94201527,19.32846883,2348.113006,6.813045213,2271.304374,16.65347484,2609.65625,2607.820809,1947.523052,2271.304374,2.399001039,2.017284035,0.534177005
Reef_25_2019_10_31_SFM_3_04_DEM,10,2.1611214,2.154324145,2.154324145,1.057948567,1.006991982,1.022474752,0.19626235,3604.362882,984.2921259,1391.971107,1446.728733,7.738510765,1258.742819,1433.339746,8.126690452,12.64150918,1693.279632,29.19859361,19.30057624,1052.238137,8.151970529,11.29888304,1294.858587,6.135525733,1258.742214,23.16268953,1501.983938,1500.781158,1087.262326,1258.742214,2.467637504,2.425570028,0.535416365
